priority_rank,transaction_id,time_step,calibrated_illicit_probability,risk_band,alert,review_decision,queue_reason,in_degree,out_degree,top_feature_contributions
23,234574641,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.051003 | local_feature_055:+0.044746 | local_feature_090:+0.041881 | local_feature_047:+0.013301 | local_feature_041:+0.010430
24,234560799,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.059906 | local_feature_055:+0.046243 | local_feature_090:+0.025952 | local_feature_047:+0.011327 | local_feature_041:+0.010430
25,99206653,21,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.070159 | local_feature_055:+0.065885 | local_feature_090:+0.046243 | local_feature_041:+0.012284 | local_feature_047:+0.010871
26,234574647,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.047784 | local_feature_055:+0.046243 | local_feature_090:+0.043292 | local_feature_047:+0.012784 | local_feature_041:+0.011327
27,234835356,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.077025 | local_feature_055:+0.051003 | local_feature_090:+0.033085 | local_feature_047:+0.012784 | local_feature_041:+0.009586
28,234565913,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.056192 | local_feature_055:+0.046243 | local_feature_090:+0.034232 | local_feature_047:+0.012284 | local_feature_041:+0.010871
29,99917463,21,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.072385 | local_feature_055:+0.063836 | local_feature_090:+0.046243 | local_feature_047:+0.013301 | local_feature_041:+0.011327
30,100955234,21,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.074674 | local_feature_055:+0.067992 | local_feature_090:+0.047784 | local_feature_041:+0.014952 | local_feature_047:+0.014385
31,118976548,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.059906 | local_feature_055:+0.052683 | local_feature_090:+0.040510 | local_feature_047:+0.011327 | local_feature_041:+0.010001
32,234574797,11,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.046243 | local_feature_055:+0.046243 | local_feature_090:+0.037886 | local_feature_047:+0.012784 | local_feature_041:+0.010871
33,283192275,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_055:+0.070159 | local_feature_053:+0.065885 | local_feature_090:+0.026881 | local_feature_041:+0.012784 | local_feature_047:+0.012784
34,84100122,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.077025 | local_feature_055:+0.067992 | local_feature_090:+0.036632 | local_feature_041:+0.014385 | local_feature_047:+0.011327
35,190427069,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.061844 | local_feature_055:+0.044746 | local_feature_090:+0.026881 | local_feature_047:+0.014952 | local_feature_041:+0.010430
36,190427094,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.052683 | local_feature_055:+0.041881 | local_feature_090:+0.025051 | local_feature_047:+0.011798 | local_feature_041:+0.009586
37,269459827,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.084474 | local_feature_055:+0.077025 | local_feature_090:+0.026881 | local_feature_047:+0.017407 | local_feature_041:+0.016142
38,283174697,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.074674 | local_feature_055:+0.072385 | local_feature_090:+0.036632 | local_feature_047:+0.014385 | local_feature_041:+0.013835
39,378250963,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.074674 | local_feature_055:+0.047784 | local_feature_090:+0.041881 | local_feature_047:+0.012284 | local_feature_041:+0.009184
40,390331522,17,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.067992 | local_feature_055:+0.052683 | local_feature_090:+0.046243 | local_feature_047:+0.013835 | local_feature_041:+0.008795
41,378058403,16,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,0,1,local_feature_053:+0.061844 | local_feature_055:+0.049370 | local_feature_090:+0.033085 | local_feature_047:+0.013835 | local_feature_041:+0.010430
42,92109911,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_055:+0.077025 | local_feature_053:+0.065885 | local_feature_090:+0.037886 | local_feature_041:+0.013301 | local_feature_047:+0.012784
43,283174323,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.087093 | local_feature_055:+0.063836 | local_feature_090:+0.043292 | local_feature_047:+0.016142 | local_feature_041:+0.015538
44,190427983,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.056192 | local_feature_055:+0.047784 | local_feature_090:+0.025051 | local_feature_047:+0.012784 | local_feature_041:+0.009586
45,283176966,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.079442 | local_feature_055:+0.070159 | local_feature_090:+0.040510 | local_feature_041:+0.013301 | local_feature_047:+0.012784
46,283188125,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.084474 | local_feature_055:+0.067992 | local_feature_090:+0.043292 | local_feature_041:+0.014952 | local_feature_047:+0.012784
47,269459737,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.079442 | local_feature_055:+0.072385 | local_feature_090:+0.028825 | local_feature_047:+0.015538 | local_feature_041:+0.014385
48,269497466,25,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,1,local_feature_053:+0.081924 | local_feature_055:+0.077025 | local_feature_090:+0.030891 | local_feature_047:+0.015538 | local_feature_041:+0.014952
49,105028133,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.044746 | local_feature_055:+0.043292 | local_feature_090:+0.039179 | local_feature_041:+0.010871 | local_feature_047:+0.010871
50,190428668,8,0.9967736645086784,critical_alert,True,escalate_for_review,priority_alert,1,0,local_feature_053:+0.054412 | local_feature_055:+0.043292 | local_feature_090:+0.025952 | local_feature_047:+0.012784 | local_feature_041:+0.009586
51,218097742,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.043067 | local_feature_079:-0.028321 | aggregate_feature_010:-0.024851 | local_feature_041:+0.024572 | local_feature_052:+0.020175
52,218278662,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_077:-0.035518 | local_feature_078:-0.035518 | local_feature_079:-0.028321 | local_feature_053:+0.026681 | aggregate_feature_067:+0.022404
53,118368717,49,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_002:-0.289285 | local_feature_053:+0.039896 | local_feature_055:+0.039896 | aggregate_feature_044:-0.039248 | aggregate_feature_070:+0.030726
54,339280618,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.122511 | local_feature_077:-0.043067 | local_feature_079:-0.035518 | local_feature_088:-0.031876 | aggregate_feature_067:+0.030726
55,218177683,1,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:+0.049296 | local_feature_047:+0.022404 | local_feature_049:+0.017885 | aggregate_feature_008:+0.015531 | aggregate_feature_010:+0.015531
56,218091557,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,2,local_feature_002:-0.067909 | local_feature_080:+0.034551 | aggregate_feature_068:+0.032666 | local_feature_086:-0.021464 | local_feature_053:+0.020175
57,294309100,27,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_041:+0.017885 | local_feature_043:+0.017885 | local_feature_080:+0.015531 | local_feature_009:-0.014939 | local_feature_031:+0.013112
58,199982070,36,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.086377 | local_feature_079:-0.028321 | local_feature_043:-0.024851 | local_feature_047:-0.021464 | local_feature_077:-0.021464
59,200505735,36,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_059:-0.039248 | local_feature_090:+0.028732 | local_feature_065:-0.028321 | local_feature_061:-0.021464 | local_feature_083:-0.021464
60,200006151,36,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_053:+0.030726 | local_feature_055:+0.028732 | local_feature_049:+0.017885 | local_feature_076:+0.017885 | aggregate_feature_067:+0.017885
61,218102900,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.086377 | aggregate_feature_070:+0.032666 | local_feature_080:+0.024572 | aggregate_feature_067:+0.024572 | local_feature_029:+0.020175
62,218033105,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,2,aggregate_feature_049:-0.043067 | local_feature_002:-0.028321 | local_feature_053:+0.022404 | local_feature_080:+0.022404 | local_feature_081:+0.022404
63,218139537,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.101263 | local_feature_079:-0.035518 | aggregate_feature_070:+0.034551 | local_feature_043:-0.024851 | aggregate_feature_067:+0.024572
64,175410300,9,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,aggregate_feature_066:-0.063534 | aggregate_feature_070:+0.043212 | local_feature_053:+0.036384 | aggregate_feature_067:+0.034551 | local_feature_055:+0.032666
65,71762254,42,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_055:+0.024572 | local_feature_073:+0.024572 | local_feature_002:+0.020175 | local_feature_023:+0.015531 | local_feature_053:+0.015531
66,139195696,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.076948 | local_feature_077:-0.046976 | local_feature_079:-0.039248 | local_feature_049:+0.028732 | local_feature_078:-0.018161
67,402940178,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,2,1,local_feature_054:-0.024851 | local_feature_029:+0.020175 | aggregate_feature_044:+0.020175 | aggregate_feature_022:+0.017885 | local_feature_012:-0.014939
68,2109032,48,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,2,1,local_feature_003:+0.017885 | aggregate_feature_046:+0.017885 | local_feature_002:+0.015531 | aggregate_feature_013:-0.014939 | time_step:+0.013112
69,294338604,27,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.081613 | local_feature_079:-0.063534 | local_feature_078:-0.050976 | local_feature_077:-0.043067 | aggregate_feature_070:+0.039896
70,294308957,27,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,2,2,local_feature_023:+0.024572 | local_feature_002:+0.022404 | local_feature_008:+0.017885 | local_feature_043:+0.017885 | time_step:+0.015531
71,340075011,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_053:+0.053413 | local_feature_055:+0.036384 | local_feature_023:+0.020175 | aggregate_feature_061:+0.020175 | local_feature_004:+0.017885
72,339291876,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.081613 | aggregate_feature_066:-0.050976 | aggregate_feature_070:+0.044800 | local_feature_053:+0.038165 | aggregate_feature_065:-0.035518
73,200594258,36,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,2,local_feature_002:-0.067909 | local_feature_079:-0.055068 | local_feature_077:-0.035518 | local_feature_078:-0.031876 | aggregate_feature_072:-0.021464
74,29913036,37,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.081613 | local_feature_080:+0.022404 | local_feature_081:+0.022404 | local_feature_091:+0.020175 | aggregate_feature_049:-0.018161
75,188797528,49,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,2,0,local_feature_049:+0.030726 | local_feature_090:+0.022404 | aggregate_feature_035:-0.021464 | aggregate_feature_039:+0.020175 | local_feature_055:+0.017885
76,232890442,1,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.091240 | local_feature_047:+0.024572 | local_feature_049:+0.024572 | local_feature_014:+0.022404 | local_feature_041:+0.020175
77,339564054,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_053:+0.049296 | local_feature_002:-0.039248 | local_feature_055:+0.038165 | local_feature_046:+0.015531 | local_feature_052:+0.015531
78,219916375,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_077:-0.043067 | local_feature_053:+0.026681 | aggregate_feature_070:+0.020175 | aggregate_feature_044:-0.018161 | local_feature_031:+0.017885
79,73036701,42,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,3,1,aggregate_feature_067:+0.024572 | local_feature_053:+0.020175 | aggregate_feature_022:+0.020175 | local_feature_003:+0.017885 | local_feature_002:+0.015531
80,139232061,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_077:-0.096202 | local_feature_002:-0.091240 | local_feature_079:-0.076948 | local_feature_078:-0.046976 | local_feature_049:-0.024851
81,246059275,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_049:+0.024572 | local_feature_043:+0.022404 | aggregate_feature_009:+0.022404 | aggregate_feature_008:-0.021464 | local_feature_023:+0.015531
82,205667283,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_055:+0.039896 | local_feature_053:+0.026681 | aggregate_feature_067:+0.024572 | aggregate_feature_010:-0.018161 | local_feature_052:+0.017885
83,236538283,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_016:-0.039248 | local_feature_041:+0.022404 | local_feature_055:+0.022404 | aggregate_feature_009:+0.020175 | local_feature_008:+0.015531
84,160498965,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.122511 | local_feature_077:-0.046976 | local_feature_053:+0.039896 | local_feature_029:+0.024572 | local_feature_047:-0.021464
85,72344988,42,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,2,aggregate_feature_049:-0.043067 | local_feature_002:-0.028321 | local_feature_053:+0.022404 | local_feature_055:+0.020175 | aggregate_feature_003:+0.017885
86,139962901,28,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_055:+0.036384 | local_feature_029:+0.024572 | local_feature_053:+0.015531 | aggregate_feature_070:+0.015531 | local_feature_025:+0.013112
87,175765730,9,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_053:+0.046343 | local_feature_055:+0.046343 | aggregate_feature_061:+0.030726 | local_feature_054:+0.026681 | local_feature_052:+0.015531
88,4804156,48,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,4,0,local_feature_053:+0.030726 | aggregate_feature_013:-0.028321 | local_feature_041:+0.024572 | aggregate_feature_070:+0.024572 | local_feature_023:+0.022404
89,232351352,1,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.145361 | local_feature_052:-0.072380 | local_feature_043:+0.024572 | local_feature_047:+0.022404 | local_feature_023:+0.020175
90,339155088,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_002:-0.359981 | local_feature_053:+0.032666 | aggregate_feature_061:+0.032666 | local_feature_055:+0.028732 | aggregate_feature_049:-0.028321
91,195420299,46,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_016:-0.050976 | local_feature_002:-0.028321 | local_feature_079:-0.028321 | local_feature_055:+0.024572 | aggregate_feature_070:+0.024572
92,339099034,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,2,local_feature_053:+0.052081 | local_feature_055:+0.039896 | local_feature_023:+0.017885 | local_feature_052:+0.017885 | local_feature_004:+0.015531
93,339486849,13,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,2,local_feature_002:-0.076948 | aggregate_feature_070:+0.041578 | aggregate_feature_067:+0.036384 | local_feature_053:+0.032666 | aggregate_feature_049:-0.031876
94,218468820,47,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_053:+0.022404 | aggregate_feature_013:-0.021464 | local_feature_055:+0.020175 | aggregate_feature_049:-0.018161 | time_step:+0.017885
95,84331275,26,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_077:-0.063534 | local_feature_049:-0.028321 | local_feature_078:-0.028321 | local_feature_079:-0.028321 | local_feature_053:+0.026681
96,85015254,26,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_002:-0.163537 | aggregate_feature_068:-0.086377 | local_feature_055:+0.030726 | aggregate_feature_069:-0.028321 | local_feature_004:+0.022404
97,71464644,42,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_043:+0.034551 | local_feature_040:+0.032666 | local_feature_002:+0.024572 | local_feature_041:+0.022404 | aggregate_feature_008:-0.014939
98,84306653,26,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.035518 | local_feature_053:+0.034551 | aggregate_feature_049:-0.028321 | aggregate_feature_069:-0.021464 | local_feature_049:+0.020175
99,85003672,26,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_077:-0.072380 | local_feature_079:-0.063534 | local_feature_078:-0.043067 | aggregate_feature_061:+0.028732 | local_feature_055:-0.024851
100,84728852,26,0.09586264307181334,high,False,monitor_no_alert,risk_band_quality_control,1,0,aggregate_feature_064:-0.046976 | local_feature_077:-0.043067 | aggregate_feature_063:-0.043067 | local_feature_053:+0.032666 | aggregate_feature_070:+0.032666
101,200472261,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,3,1,local_feature_054:-0.011457 | local_feature_047:-0.009676 | aggregate_feature_013:-0.009676 | aggregate_feature_066:-0.009676 | local_feature_029:-0.006263
102,378245044,16,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_053:+0.018813 | local_feature_055:+0.009341 | local_feature_052:+0.006866 | local_feature_054:+0.006866 | local_feature_076:+0.006866
103,378128568,16,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_002:-0.013290 | local_feature_041:+0.006866 | local_feature_023:+0.005573 | local_feature_079:-0.004628 | local_feature_091:+0.004240
104,200523768,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_002:-0.019109 | local_feature_053:-0.013290 | local_feature_077:-0.013290 | local_feature_043:-0.011457 | local_feature_047:-0.011457
105,200556558,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.053587 | local_feature_055:-0.025437 | local_feature_053:-0.023269 | local_feature_043:-0.019109 | local_feature_047:-0.019109
106,199942877,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,2,local_feature_002:-0.029956 | local_feature_052:-0.011457 | local_feature_054:-0.011457 | local_feature_004:-0.006263 | local_feature_006:-0.006263
107,188786955,49,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_065:-0.021160 | local_feature_059:-0.019109 | local_feature_060:-0.019109 | local_feature_061:-0.015175 | local_feature_066:-0.015175
108,372737751,22,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.039766 | local_feature_079:-0.015175 | local_feature_047:-0.013290 | local_feature_054:-0.007945 | local_feature_049:-0.006263
109,200556107,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.059637 | local_feature_047:-0.025437 | local_feature_079:-0.025437 | local_feature_055:-0.017114 | local_feature_049:-0.015175
110,148797062,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.009676 | local_feature_052:-0.009676 | local_feature_043:-0.007945 | local_feature_047:-0.007945 | local_feature_054:-0.006263
111,68458826,10,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.045078 | aggregate_feature_063:-0.019109 | aggregate_feature_070:+0.018813 | aggregate_feature_062:-0.015175 | local_feature_055:+0.013869
112,200008585,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,2,local_feature_053:+0.012787 | aggregate_feature_010:-0.009676 | aggregate_feature_008:-0.007945 | local_feature_055:+0.006866 | local_feature_002:-0.004628
113,355219497,32,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,2,1,local_feature_047:-0.021160 | local_feature_053:-0.019109 | local_feature_043:-0.013290 | local_feature_079:-0.013290 | local_feature_052:-0.011457
114,225618340,32,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.039766 | local_feature_055:-0.015175 | local_feature_052:-0.013290 | local_feature_077:-0.009676 | local_feature_029:-0.007945
115,156069486,45,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,0,1,aggregate_feature_068:-0.015175 | local_feature_055:-0.009676 | local_feature_047:+0.008122 | aggregate_feature_044:+0.006866 | local_feature_053:-0.006263
116,163691273,29,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,0,1,local_feature_047:-0.011457 | local_feature_041:+0.010524 | local_feature_090:-0.009676 | aggregate_feature_063:-0.009676 | local_feature_055:+0.008122
117,166507354,29,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,0,local_feature_016:-0.011457 | local_feature_053:+0.009341 | local_feature_006:-0.007945 | local_feature_009:-0.006263 | local_feature_011:-0.006263
118,363064003,19,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_053:+0.017883 | local_feature_055:+0.015936 | aggregate_feature_070:+0.006866 | aggregate_feature_049:-0.006263 | local_feature_002:-0.004628
119,245652367,15,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_053:+0.019715 | local_feature_055:+0.011673 | local_feature_054:+0.006866 | local_feature_076:+0.006866 | local_feature_052:+0.005573
120,33426381,36,0.04802189409473251,medium,False,monitor_no_alert,risk_band_quality_control,1,1,local_feature_002:-0.017114 | local_feature_055:-0.009676 | local_feature_079:-0.007945 | aggregate_feature_008:+0.006866 | aggregate_feature_071:+0.006866
