feature,mean_ap_decrease,std_ap_decrease,repeats
local_feature_069,-2.6084525334590936e-05,7.127459090409196e-05,3
local_feature_044,-2.6124579617000283e-05,9.62136106072446e-06,3
aggregate_feature_001,-2.924528581678872e-05,0.00010882400755690448,3
local_feature_021,-3.0223282774688442e-05,1.5225566879489255e-05,3
local_feature_019,-3.150990559452893e-05,0.00041286812579728523,3
aggregate_feature_050,-3.839620482071204e-05,9.953090740574426e-05,3
aggregate_feature_021,-3.954648046603874e-05,8.82971864481527e-05,3
aggregate_feature_063,-4.047275993516545e-05,0.00014626433466833822,3
aggregate_feature_004,-4.404678365266257e-05,5.856131241150131e-05,3
local_feature_028,-4.7971721425899005e-05,0.00026415221447083684,3
aggregate_feature_027,-4.8058657660813665e-05,5.397248336411893e-05,3
local_feature_064,-6.031436366290185e-05,6.99502333380848e-05,3
local_feature_033,-6.083275227960113e-05,9.179320143114088e-05,3
aggregate_feature_011,-6.593356045847543e-05,3.5764747237302245e-05,3
aggregate_feature_060,-6.842411442842256e-05,1.4975725662725073e-05,3
aggregate_feature_040,-7.143344035494732e-05,0.00022416021285543127,3
local_feature_017,-7.16638587299201e-05,0.00021664364781941015,3
local_feature_024,-7.19847601439912e-05,0.0001315593737321703,3
local_feature_082,-7.239267345500917e-05,0.00012227096314719972,3
local_feature_075,-7.74404866083674e-05,5.0451343936354334e-05,3
local_feature_086,-8.245173446874698e-05,0.00012680429392860569,3
local_feature_045,-8.64221694345894e-05,2.569822265133618e-05,3
aggregate_feature_024,-8.977109034336017e-05,8.310298083063701e-05,3
aggregate_feature_016,-9.053706839231197e-05,0.00032028251241507545,3
aggregate_feature_058,-9.135819554551006e-05,5.708488728749998e-05,3
aggregate_feature_047,-9.246729930267872e-05,1.5220707362971543e-05,3
aggregate_feature_049,-0.00010246410852184547,5.3438881420989905e-05,3
aggregate_feature_048,-0.00011741213919957971,6.679690444383515e-05,3
aggregate_feature_019,-0.0001344737622656448,2.0993814830467728e-05,3
aggregate_feature_053,-0.00013903193927944368,4.6322859814326164e-05,3
local_feature_048,-0.00014741333078897392,9.912397587953725e-05,3
local_feature_093,-0.00017338110422715491,2.7616041380398627e-05,3
local_feature_085,-0.00021585291080435573,0.00035378493199822886,3
aggregate_feature_032,-0.0002203668506357189,0.00040531508700621875,3
aggregate_feature_020,-0.0002227553942090177,7.908979094401828e-05,3
aggregate_feature_015,-0.0002662823050532115,0.00012601174770922495,3
local_feature_041,-0.00042297932463893534,0.0005448378440290134,3
aggregate_feature_009,-0.0004550309921669271,0.00011389126033253661,3
local_feature_042,-0.0004923963237556395,0.00029377564591332307,3
local_feature_049,-0.0005381458308436615,0.0006832038511191571,3
local_feature_043,-0.0010850766154696008,0.0009283462056323504,3
